Chr	Start	End	Tags	length-ATAC-union	CoefOfVar_(SD/Mean)_ATAC_union	CoefOfVar_K27_500-600bp_union	Drop_(Max-Min/Max)_K27_500-600bp_union	CoefOfVar_Q1Q3_(SD/Mean)_ATAC_union	CoefOfVar_Q1Q3_K27_500-600_union	Min_ATAC_union	Max_ATAC_union	TotalN_ATAC_peaks_called	CoefOfVar_K27_500bp_union	CoefOfVar_K27_500-300bp_union	CoefOfVar_Q1Q3_K27_500_union	CoefOfVar_Q1Q3_K27_500-300_union	Drop_(Max-Min/Max)_K27_500bp_union	Drop_(Max-Min/Max)_K27_500-300bp_union	Max_K27_500-300bp_union	Max_K27_500bp_union	Max_K27_500-600bp_union	Mean_K27_500bp_union	Mean_K27_500-300bp_union	Mean_K27_500-600bp_union	Min_K27_500-300bp_union	Min_K27_500-600bp_union	Min_K27_500bp_union	SD_K27_500-300bp_union	SD_K27_500-600bp_union	SD_K27_500bp_union	Mean_ATAC_union	Max-Mean_ATAC_union	SD_ATAC_union	start-500	end-500	start-500-300	end-500-300	start-500-600	end-500-600	Mean/SD_K27_500-600bp
chr6	29926635	29927586		951	0.4206208121	0.858508659	0.9996870319	0.482280128	0.945165891	0.537089	5.15045	48	0.7676230822	0.8233394419	0.8785954023	0.9219764777	0.9996302765	0.9996971442	5368.805426	3698.159495	6258.015965	1111.893868474	1504.72820075	1659.69176704	1.6259739	1.9585593	1.3672963	1238.9020769651	1424.8597532546	853.5153983636	2.58402492	2.56642508	1.0868946604	29926610	29927610	29926310	29927910	29926010	29928210	1.1648106161
chr5	159100039	159100901		862	0.3819848733	1.0089822813	0.9993431639	0.4490283835	1.0152873318	2.31744	14.147	50	0.9776425431	1.0118182235	0.9988251637	1.0217890454	0.9996065933	0.9995585589	473.45839	318.760205	572.7567148	74.662614922	103.304863258	126.05744468	0.209004	0.3762073	0.1254024	104.5257432202	127.1897281139	72.9933487235	7.2935934	6.8534066	2.7860423507	159099970	159100970	159099670	159101270	159099370	159101570	0.9910976818
chr1	75991043	75992115		1072	0.6681786386	2.0992322876	0.9993350672	0.7237577429	1.7096573674	0.698348	7.58025	46	2.0178195947	2.0814023934	1.6403951307	1.6931977321	0.9987026149	0.9991976079	1190.4909	662.65331	1436.597122	72.712247278	116.270621752	136.080301858	0.9552405	0.9552405	0.8597165	242.0059504024	285.6641633677	146.7201973354	2.12841448	5.45183552	1.4221610897	75991079	75992079	75990779	75992379	75990479	75992679	0.4763646243
chr6	168302284	168303170		886	0.5643002956	1.4856763989	0.9985689879	0.6375056466	1.4303600109	0.513668	12.9507	49	1.4394536926	1.4739640312	1.403808308	1.4240988961	0.9984081531	0.9985231968	2524.181292	1270.527632	3048.34859	186.330386734	356.751168064	417.156295816	3.727719	4.3622237	2.0224855	525.8383897989	619.7592633588	268.213963232	6.45148616	6.49921384	3.6405755474	168302227	168303227	168301927	168303527	168301627	168303827	0.6730940875
chr19	21626996	21628046		1050	0.3953309477	0.9397898552	0.9978557623	0.4594761282	0.9359189814	0.813934	6.22089	49	0.9036583084	0.9131916834	0.9095256393	0.9138631749	0.997299136	0.9976035757	8139.53386	5337.27123	9817.92554	1417.951839472	2116.450735276	2470.144429502	19.5057771	21.0519664	14.4152439	1932.7252096921	2321.416675672	1281.343960601	3.16642788	3.05446212	1.2517869345	21627021	21628021	21626721	21628321	21626421	21628621	1.0640676684
chr7	76372933	76373849		916	0.4230460521	0.7475843293	0.9973911483	0.4879374855	0.8109557832	0.581564	5.59023	48	0.7542293667	0.7514991834	0.8175413003	0.8142732903	0.9982068283	0.9981239117	1443.195081	1384.101064	1455.853916	450.018039466	473.912904218	479.280701358	2.7075614	3.7981069	2.4819309	356.1451605396	358.3027416829	339.41682089	2.67817278	2.91205722	1.1329904215	76372891	76373891	76372591	76374191	76372291	76374491	1.3376417359
chr7	81812824	81813772		948	0.4873861585	1.088391333	0.9967488153	0.5697802506	1.1465116945	0.726454	7.26536	49	1.0980150078	1.0916001951	1.1534079537	1.1545437744	0.997135343	0.9970467541	1506.698648	965.560469	1642.349587	174.090841314	273.738073926	302.453613418	4.4496516	5.3395819	2.7659996	298.8125349172	329.1878914874	191.1543564874	3.60327166	3.66208834	1.7561847325	81812798	81813798	81812498	81814098	81812198	81814398	0.9187871767
chr6	3159897	3160801		904	0.4835353752	1.1369562945	0.9966492923	0.5568361452	1.2117541684	0.790123	6.30472	47	1.0924165628	1.1304893939	1.1496300631	1.1996702486	0.997029325	0.9971029725	4504.0176	2537.37846	5607.26817	483.592257456	807.511154604	990.97735553	13.0482627	18.7883168	7.5377268	912.8827957041	1126.6979420968	528.2841916672	2.54520408	3.75951592	1.2306962097	3159849	3160849	3159549	3161149	3159249	3161449	0.8795412848
chr3	146154773	146155664		891	0.5360541454	1.099318765	0.9964366028	0.6005910766	1.1390792187	1.15429	9.18532	49	1.1487975156	1.122620366	1.1527622338	1.1367838403	0.9983202548	0.9970787046	653.984112	426.511352	884.631474	79.551544432	122.789070824	169.016412302	1.9104808	3.1522933	0.7164304	137.8455116326	185.8029136333	91.3886166039	4.4309284	4.7543916	2.3752175367	146154718	146155718	146154418	146156018	146154118	146156318	0.9096542621
chr1	76074264	76075142		878	0.4865040037	1.547015406	0.9960370559	0.5416264854	1.3034496339	1.0071	10.3343	50	1.5589376319	1.5593523123	1.307948435	1.3111306542	0.9973841526	0.9966419012	561.762185	527.680275	568.9056727	84.556348388	89.280437742	90.819637698	1.8864529	2.2545414	1.3803311	139.2196570386	140.4993786819	131.8180735188	3.9451466	6.3891534	1.9193296162	76074203	76075203	76073903	76075503	76073603	76075803	0.6464059738
